collected_at,station,market_date,model,timezone,forecast_target,temperature_max_c,temperature_min_c,forecast_url
2026-09-10T20:12:10.598143+00:00,CYYZ,2026-09-10,open_meteo_best_match,America/Toronto,2026-09-10,25.9,15.9,https://api.open-meteo.com/v1/forecast?latitude=43.679&longitude=-79.629&daily=temperature_2m_max%2Ctemperature_2m_min&timezone=auto&start_date=2026-09-10&end_date=2026-09-12
2026-09-10T20:12:10.598163+00:00,CYYZ,2026-09-11,open_meteo_best_match,America/Toronto,2026-09-11,24.0,10.6,https://api.open-meteo.com/v1/forecast?latitude=43.679&longitude=-79.629&daily=temperature_2m_max%2Ctemperature_2m_min&timezone=auto&start_date=2026-09-10&end_date=2026-09-12
2026-09-10T20:12:10.598167+00:00,CYYZ,2026-09-12,open_meteo_best_match,America/Toronto,2026-09-12,27.0,11.4,https://api.open-meteo.com/v1/forecast?latitude=43.679&longitude=-79.629&daily=temperature_2m_max%2Ctemperature_2m_min&timezone=auto&start_date=2026-09-10&end_date=2026-09-12
2026-09-10T20:12:11.367706+00:00,CYYZ,2026-09-10,ecmwf,America/Toronto,2026-09-10,24.1,15.4,https://api.open-meteo.com/v1/ecmwf?latitude=43.679&longitude=-79.629&daily=temperature_2m_max%2Ctemperature_2m_min&timezone=auto&start_date=2026-09-10&end_date=2026-09-12
2026-09-10T20:12:11.367756+00:00,CYYZ,2026-09-11,ecmwf,America/Toronto,2026-09-11,23.3,12.3,https://api.open-meteo.com/v1/ecmwf?latitude=43.679&longitude=-79.629&daily=temperature_2m_max%2Ctemperature_2m_min&timezone=auto&start_date=2026-09-10&end_date=2026-09-12
2026-09-10T20:12:11.367762+00:00,CYYZ,2026-09-12,ecmwf,America/Toronto,2026-09-12,26.7,12.8,https://api.open-meteo.com/v1/ecmwf?latitude=43.679&longitude=-79.629&daily=temperature_2m_max%2Ctemperature_2m_min&timezone=auto&start_date=2026-09-10&end_date=2026-09-12
2026-09-10T20:12:12.135872+00:00,CYYZ,2026-09-10,gfs,America/Toronto,2026-09-10,25.9,15.9,https://api.open-meteo.com/v1/gfs?latitude=43.679&longitude=-79.629&daily=temperature_2m_max%2Ctemperature_2m_min&timezone=auto&start_date=2026-09-10&end_date=2026-09-12
2026-09-10T20:12:12.135892+00:00,CYYZ,2026-09-11,gfs,America/Toronto,2026-09-11,24.0,10.6,https://api.open-meteo.com/v1/gfs?latitude=43.679&longitude=-79.629&daily=temperature_2m_max%2Ctemperature_2m_min&timezone=auto&start_date=2026-09-10&end_date=2026-09-12
2026-09-10T20:12:12.135897+00:00,CYYZ,2026-09-12,gfs,America/Toronto,2026-09-12,27.0,11.4,https://api.open-meteo.com/v1/gfs?latitude=43.679&longitude=-79.629&daily=temperature_2m_max%2Ctemperature_2m_min&timezone=auto&start_date=2026-09-10&end_date=2026-09-12
2026-09-10T20:12:12.921667+00:00,EDDM,2026-09-10,open_meteo_best_match,Europe/Berlin,2026-09-10,18.9,8.8,https://api.open-meteo.com/v1/forecast?latitude=48.348&longitude=11.813&daily=temperature_2m_max%2Ctemperature_2m_min&timezone=auto&start_date=2026-09-10&end_date=2026-09-12
2026-09-10T20:12:12.921685+00:00,EDDM,2026-09-11,open_meteo_best_match,Europe/Berlin,2026-09-11,20.0,9.9,https://api.open-meteo.com/v1/forecast?latitude=48.348&longitude=11.813&daily=temperature_2m_max%2Ctemperature_2m_min&timezone=auto&start_date=2026-09-10&end_date=2026-09-12
2026-09-10T20:12:12.921689+00:00,EDDM,2026-09-12,open_meteo_best_match,Europe/Berlin,2026-09-12,21.7,7.9,https://api.open-meteo.com/v1/forecast?latitude=48.348&longitude=11.813&daily=temperature_2m_max%2Ctemperature_2m_min&timezone=auto&start_date=2026-09-10&end_date=2026-09-12
2026-09-10T20:12:13.697878+00:00,EDDM,2026-09-10,ecmwf,Europe/Berlin,2026-09-10,18.6,10.4,https://api.open-meteo.com/v1/ecmwf?latitude=48.348&longitude=11.813&daily=temperature_2m_max%2Ctemperature_2m_min&timezone=auto&start_date=2026-09-10&end_date=2026-09-12
2026-09-10T20:12:13.697899+00:00,EDDM,2026-09-11,ecmwf,Europe/Berlin,2026-09-11,18.7,10.6,https://api.open-meteo.com/v1/ecmwf?latitude=48.348&longitude=11.813&daily=temperature_2m_max%2Ctemperature_2m_min&timezone=auto&start_date=2026-09-10&end_date=2026-09-12
