collected_at,station,observation_time,temperature_c,dewpoint_c,wind_speed_kt,raw_text,source
2026-09-10T20:11:40.288298+00:00,CYYZ,2026-09-10T20:00:00.000Z,25.0,13.0,14.0,METAR CYYZ 102000Z 31014G24KT 15SM SCT065 BKN260 25/13 A2990 RMK CU3CI4 SLP124 DENSITY ALT 1900FT,AviationWeather.gov METAR
2026-09-10T20:11:40.560607+00:00,EDDM,2026-09-10T20:00:00.000Z,13.0,11.0,2.0,METAR EDDM 101950Z AUTO 34002KT CAVOK 13/11 Q1019 NOSIG,AviationWeather.gov METAR
2026-09-10T20:11:40.833272+00:00,EFHK,2026-09-10T20:00:00.000Z,13.0,13.0,7.0,METAR EFHK 101950Z 31007KT 9999 -SHRA FEW010 SCT020 FEW035CB BKN040 13/13 Q1003 NOSIG,AviationWeather.gov METAR
2026-09-10T20:11:41.206299+00:00,EGLC,2026-09-10T20:00:00.000Z,18.0,11.0,8.0,METAR EGLC 101950Z AUTO 22008KT 9999 OVC038/// //////TCU 18/11 Q1016,AviationWeather.gov METAR
2026-09-10T20:11:41.519485+00:00,EHAM,2026-09-10T20:00:00.000Z,16.0,11.0,6.0,METAR EHAM 101955Z 16006KT CAVOK 16/11 Q1017 NOSIG,AviationWeather.gov METAR
2026-09-10T20:11:42.013856+00:00,EPWA,2026-09-10T20:00:00.000Z,11.0,7.0,6.0,METAR EPWA 102000Z 26006KT CAVOK 11/07 Q1019 NOSIG,AviationWeather.gov METAR
2026-09-10T20:11:42.264349+00:00,FACT,2026-09-10T20:00:00.000Z,16.0,13.0,17.0,METAR FACT 102000Z 19017KT 9999 FEW005 16/13 Q1023 NOSIG,AviationWeather.gov METAR
2026-09-10T20:11:42.620252+00:00,KATL,2026-09-10T20:00:00.000Z,32.2,20.0,5.0,METAR KATL 101952Z 22005KT 10SM BKN046TCU BKN085 BKN250 32/20 A3004 RMK AO2 SLP162 TCU OHD AND ALQDS DSNT ALQDS T03220200 $,AviationWeather.gov METAR
2026-09-10T20:11:43.503675+00:00,KAUS,2026-09-10T20:00:00.000Z,35.6,19.4,4.0,METAR KAUS 101953Z 20004KT 10SM SCT065 BKN075 BKN250 36/19 A2992 RMK AO2 SLP118 T03560194,AviationWeather.gov METAR
2026-09-10T20:11:44.096576+00:00,KBKF,2026-09-10T20:00:00.000Z,29.6,-9.9,3.0,METAR KBKF 101958Z VRB03KT 10SM FEW080 FEW140 30/M10 A3013 RMK AO2A SLP123 T02961099,AviationWeather.gov METAR
2026-09-10T20:11:44.412314+00:00,KDAL,2026-09-10T20:00:00.000Z,37.2,18.3,0.0,METAR KDAL 101953Z 00000KT 10SM FEW065 SCT110 SCT250 37/18 A2990 RMK AO2 SLP117 CB DSNT W-N MOV SE TCU DSNT SW-NW-N T03720183,AviationWeather.gov METAR
2026-09-10T20:11:44.659031+00:00,KHOU,2026-09-10T20:00:00.000Z,30.0,22.8,4.0,METAR KHOU 101953Z VRB04KT 10SM FEW040 BKN250 30/23 A2995 RMK AO2 LTG DSNT ALQDS TSE33 PRESFR SLP144 OCNL LTGIC NE CB DSNT NE DRFTG NE T03000228,AviationWeather.gov METAR
2026-09-10T20:11:45.878886+00:00,KLAX,2026-09-10T20:00:00.000Z,31.1,19.4,11.0,METAR KLAX 101953Z 28011KT 10SM FEW120 FEW230 SCT280 31/19 A2989 RMK AO2 SLP118 T03110194 $,AviationWeather.gov METAR
